brand,title,type,price,priceWithCurrency,available,availableText,sold,itemLocation,gender,update_year
Dior,Christian Dior Sauvage Men's EDP 3.4 oz Fragrance Spray,Eau de Parfum,84.99,US $84.99/ea,10.0,More than 10 available / 116 sold,116.0,"Allen Park, Michigan, United States",Men,2024
Unbranded,HOGO BOSS cologne For Men 3.4 oz,Eau de Toilette,100.0,US $100.00,10.0,More than 10 available / 27 sold,27.0,"Dearborn, Michigan, United States",Men,2024
Giorgio Armani,Acqua Di Gio by Giorgio Armani 6.7 Fl oz Eau De Toilette Spray Men' New & Sealed,Eau de Toilette,44.99,US $44.99/ea,2.0,2 available / 159 sold,159.0,"Reinholds, Pennsylvania, United States",Men,2024
Lattafa,Lattafa Men's Hayaati Al Maleky EDP Spray 3.4 oz Fragrances 6291108734056,Fragrances,16.91,US $16.91,0.0,Limited quantity available / 156 sold,156.0,"Brooklyn, New York, United States",Men,2024
Multiple Brands,Men's Perfume Sampler 10pcs Sample Vials Designer Fragrance Samples for Men,Perfume,14.99,US $14.99,10.0,More than 10 available / 79 sold,79.0,"Houston, Texas, United States",Men,2024
Maison Alhambra,Glacier Bold by Maison Alhambra 3.4oz EDP for Men NEW SEALED CAN,Eau de Parfum,30.99,US $30.99/ea,9.0,9 available / 39 sold,39.0,"Englewood Cliffs, New Jersey, United States",Men,2024
Unbranded,Parfums De-Marly-Haltane Eau de Parfum spray 4.2 oz for Men New in Box,Eau de Parfum,85.0,US $85.00,0.0,Last One / 6 sold,6.0,"Ithaca, New York, United States",Men,2024
Unbranded,Hawas for him Eau De Parfum By Rasasi 100ml 3.4 FL OZ NEW,/,15.89,US $15.89,10.0,10 available / 17 sold,17.0,"shanghai, China",Men,2024
Gucci,"Gucci Guilty for Him - Classic 3oz Eau de Toilette Spray, Brand New",Eau de Parfum,49.99,US $49.99/ea,8.0,8 available / 68 sold,68.0,"Dearborn Heights, Michigan, United States",Men,2024
Ralph Lauren,Polo Blue by Ralph Lauren 4.2 oz EDT Cologne for Men Brand New In Box,Eau de Toilette,34.99,US $34.99/ea,10.0,More than 10 available / 615 sold,615.0,"Ecorse, Michigan, United States",Men,2024
Dolce&Gabbana,Dolce & Gabbana Light Blue Men 4.2 oz / 125 mL EDT Spray Brand New & Sealed,Eau de Toilette,29.95,US $29.95/ea,7.0,7 available / 458 sold,458.0,"Warren, Michigan, United States",Men,2024
SECERTMU,New 2024 Sexy Cologne Cupid Hypnosis Long Lasting Pheromone Perfume for Men,Perfume,15.99,US $15.99,10.0,More than 10 available / 889 sold,889.0,"San Francisco, California, United States",Men,2024
As Show,Sauvage Eau de Parfum Spray For Men 3.4 Oz/100ml New In Seald Box,Eau de Parfum,59.99,US $59.99/ea,9.0,9 available / 63 sold,63.0,"Dayton,New Jersey, Hong Kong",Men,2024
Versace,Eau Fraiche By Versace 3.4 oz 100 ml Eau de Toilette Brand New Sealed In Box,Eau de Toilette,34.99,US $34.99/ea,7.0,7 available / 136 sold,136.0,"Warren, Michigan, United States",Men,2024
Paco Rabanne,1 Million by Paco Rabanne 3.4 Fl oz / 100 ml PARFUM Spray Men's New & Sealed,PARFUM,68.99,US $68.99/ea,2.0,2 available / 20 sold,20.0,"San Jose, California, United States",Men,2024
Grandeur,Tribal Intense by Grandeur - Eau de Parfum for Men -100ml (3.4oz),Eau de Parfum,37.99,US $37.99,10.0,More than 10 available / 44 sold,44.0,"Miami, Florida, United States",Men,2024
Armaf,Club de Nuit Intense by Armaf 3.6 oz EDT Cologne for Men New In Box & Sealed,Eau de Toilette,29.99,US $29.99/ea,5.0,5 available / 384 sold,384.0,"Hamtramck, Michigan, United States",Men,2024
Carolina Herrera,Carolina Herrera 212 NYC Men's Cologne EDT 3.4oz 100ml New Sealed,Eau de Toilette,39.99,US $39.99/ea,10.0,More than 10 available / 236 sold,236.0,"Flat Lick, Kentucky, United States",Men,2024
Dior,Dior Sauvage Eau de Toilette 3.4 Oz 100ml Brand New Sealed Free shipping,Eau de Toilette,83.95,US $83.95,4.0,4 available / 22 sold,22.0,"Elmhurst, New York, United States",Men,2024
Dolce & Gabbana,Light Blue by Dolce & Gabbana 4.2 oz Cologne for Men Tester with Cap,Eau de Toilette,29.94,US $29.94/ea,0.0,"Limited quantity available / 9,208 sold",9208.0,"Hackensack, New Jersey, United States",Men,2024
Clinique,CLINIQUE HAPPY Pour Homme Cologne edt for Men 3.4 oz 3.3 NEW in Box,Eau de Toilette,21.99,US $21.99/ea,4.0,4 available / 86 sold,86.0,"Miami, Florida, United States",Men,2024
Dumont,Dumont Men's Nitro Red EDP Spray 3.4 oz Fragrances 3760060761880,Fragrances,49.99,US $49.99,3.0,3 available / 187 sold,187.0,"Brooklyn, New York, United States",Men,2024
Afnan,Turathi Blue by Afnan for men EDP 3oz New in Sealed Box,Eau de Parfum,33.7,US $33.70,10.0,More than 10 available / 131 sold,131.0,"Dallas, Texas, United States",Men,2024
Versace,Versace Eros by Gianni Versace 3.4oz EDT Cologne for Men 100ml New in Box,Eau de Toilette,35.99,US $35.99,2.0,2 available / 43 sold,43.0,"Pomona, California, United States",Men,2024
Azzaro,Azzaro The Most Wanted 3.3 oz./100 ml. PARFUM Spray for Men. New in Sealed Box,Parfum,89.97,US $89.97/ea,10.0,10 available / 920 sold,920.0,"Katy, Texas, United States",Men,2024
Unbranded,USA Parfums de Marly Layton Royal Essence 4.2 oz. Men's Eau de Parfum,Eau de Parfum,92.99,US $92.99,5.0,5 available / 19 sold,19.0,"College Point, New York, United States",Men,2024
Azzaro,Azzaro The Most Wanted 3.38 oz./100 ml. PARFUM for Men fast shipping,Eau de Parfum,87.99,US $87.99,2.0,2 available / 4 sold,4.0,"NEW YORK, United States",Men,2024
Penhaligon's,Penhaligon's The Tragedy of Lord George 2.5oz EDP Spray Men's Perfume,Eau de Parfum,99.99,US $99.99,0.0,Last One / 30 sold,30.0,"Brenham, Texas, United States",Men,2024
Bharara,Bharara Double Bleu Pour Homme By Bharara 3.4/3.3 oz Edp Spray For Men NEW,Eau de Parfum,51.91,US $51.91/ea,4.0,4 available / 47 sold,47.0,"Richmond Hill, New York, United States",Men,2024
Paco Rabanne,1 Million Paco Rabanne Men 3.4 oz EDT Spray,Eau de Toilette,49.99,US $49.99/ea,8.0,8 available / 170 sold,170.0,"Dexter, Michigan, United States",Men,2024
Armaf,ARMAF CLUB DE NUIT INTENSE 3.6 oz FOR MEN EDT SOLE OFFICIAL DISTRIBUTOR OF ARMAF,Eau de Toilette,32.85,US $32.85/ea,10.0,"More than 10 available / 8,385 sold",8385.0,"Houston, Texas, United States",Men,2024
Valentino,Valentino Uomo Born In Roma 3.4 oz. Eau de Toilette Spray for Men New in Box,Eau de Toilette,89.97,US $89.97/ea,10.0,10 available / 295 sold,295.0,"Katy, Texas, United States",Men,2024
Guy Laroche,DRAKKAR NOIR by Guy Laroche 3.4 oz / 3.3 oz edt spray for Men New UNBOXED,Eau de Toilette,16.98,US $16.98/ea,620.0,"620 available / 2,345 sold",2345.0,"Dallas, Texas, United States",Men,2024
Montblanc,MONT BLANC LEGEND 3.3 / 3.4 oz EDT Cologne for Men New In Box,Eau de Toilette,32.89,US $32.89/ea,383.0,"383 available / 5,032 sold",5032.0,"Dallas, Texas, United States",Men,2024
Rasasi,Rasasi Men's Hawas EDP Spray 3.4 oz Fragrances 614514331026,Eau de Parfum,45.11,US $45.11,0.0,Limited quantity available / 258 sold,258.0,"Brooklyn, New York, United States",Men,2024
Maison Alhambra,Maison Alhambra Men's Victorioso Victory EDP Spray 3.4 oz Fragrances,Fragrances,19.73,US $19.73,0.0,Limited quantity available / 55 sold,55.0,"Brooklyn, New York, United States",Men,2024
Armaf,Club de Nuit Untold by Armaf 3.6 oz EDP Brand New In Box Sealed FREE SHIPPING,Eau de Parfum,39.99,US $39.99/ea,8.0,8 available / 276 sold,276.0,"Phoenix, Arizona, United States",Men,2024
Calvin Klein,Eternity for Men by Calvin Klein cologne EDT 6.7 / 6.8 oz New In Box,Eau de Toilette,40.6,US $40.60/ea,0.0,"Limited quantity available / 5,582 sold",5582.0,"Dallas, Texas, United States",Men,2024
UOMO,Valentino Uomo EDT Perfume For Men 3.4oz / 100ml Spray *NEW IN BOX*,Eau de Toilette,54.99,US $54.99,0.0,Last One / 8 sold,8.0,"Peekskill, New York, United States",Men,2024
Paco Rabanne,Phantom by Paco Rabanne 3.4 oz EDT Cologne for Men Brand New In Box,Eau de Toilette,40.99,US $40.99,10.0,More than 10 available / 37 sold,37.0,"College Point, New York, United States",Men,2024
Armaf,Club de Nuit Sillage by Armaf 3.6 oz EDP Cologne for Men New In Box,Eau de Parfum,34.84,US $34.84/ea,0.0,"Limited quantity available / 4,460 sold",4460.0,"Hackensack, New Jersey, United States",Men,2024
Givenchy,PI by Givenchy cologne for men EDT 3.3 / 3.4 oz New Tester,Eau de Toilette,34.72,US $34.72/ea,71.0,71 available / 627 sold,627.0,"Dallas, Texas, United States",Men,2024
Azzaro,Chrome by Azzaro 6.7 / 6.8 oz EDT Cologne for Men New In Box,Eau de Toilette,46.33,US $46.33/ea,0.0,"Limited quantity available / 30,655 sold",30655.0,"Hackensack, New Jersey, United States",Men,2024
Armaf,TAG UOMO ROSSO BY ARMAF EDP 3.4 OZ / 100 ML FOR MEN (NIB)SEALED,Eau de Parfum,39.0,US $39.00,3.0,3 available / 24 sold,24.0,"Brooklyn, New York, United States",Men,2024
Lattafa,Qaed Al Fursan by Lattafa perfume for unisex EDP 3.04 oz New in Box,Eau de Parfum,21.54,US $21.54/ea,96.0,96 available / 989 sold,989.0,"Dallas, Texas, United States",Men,2024
Polo Ralph Lauren,POLO SPORT Ralph Lauren 4.2 oz Cologne for Men EDT New in Box,Eau de Toilette,32.97,US $32.97/ea,756.0,"1,756 available / 5,023 sold",5023.0,"Dallas, Texas, United States",Men,2024
Ralph Lauren,POLO SPORT FRESH by Ralph Lauren cologne for men EDT 4.2 oz New in Box,Eau de Toilette,23.34,US $23.34/ea,452.0,452 available / 972 sold,972.0,"Dallas, Texas, United States",Men,2024
C.K,Eternity by Calvin Klein 3.4 oz EDT Cologne for Men Brand New Tester,Eau de Toilette,28.75,US $28.75,0.0,"Limited quantity available / 12,739 sold",12739.0,"Hackensack, New Jersey, United States",Men,2024
John Varvatos,ARTISAN by John Varvatos 4.2 oz edt Men's Cologne New tester,Eau de Toilette,27.94,US $27.94/ea,161.0,161 available / 485 sold,485.0,"Dallas, Texas, United States",Men,2024
Afnan,AFNAN 9AM DIVE EAU DE PARFUM SPRAY UNISEX 3.4 Oz / 100 Ml,Eau de Parfum,32.5,US $32.50,5.0,5 available / 372 sold,372.0,"Edison, New Jersey, United States",Men,2024
Nautica,NAUTICA BLUE by Nautica 3.4 oz / 100 ml Eau De Toilette Spray NEW & SEALED,Eau de Toilette,14.99,US $14.99,3.0,3 available / 291 sold,291.0,"Armada, Michigan, United States",Men,2024
Giorgio Armani,Giorgio Armani Acqua Di Gio 6.7oz / 200ml Men's Eau de Toilette Spray Brand New,Eau de Toilette,45.95,US $45.95,5.0,5 available / 578 sold,578.0,"Kalamazoo, Michigan, United States",Men,2024
Giorgio Armani,Armani Code Profumo by Giorgio Armani 3.7 fl oz Spray Parfum Men's New & Sealed,Eau de Parfum,68.99,US $68.99/ea,2.0,2 available / 99 sold,99.0,"Charlotte, North Carolina, United States",Men,2024
As Picture Show,Sauvage Eau De Parfum 3.4 oz / 100 ml EDP Spray For Men New In Seald Box,Eau de Parfum,69.99,US $69.99,56.0,56 available / 44 sold,44.0,"Dayton, New Jersey, United States",Men,2024
SECERTMU,New 2024 Sexy Cologne Cupid Hypnosis Long Lasting Pheromone Perfume for Men US,Perfume,13.99,US $13.99,10.0,More than 10 available / 290 sold,290.0,"San Francisco, California, United States",Men,2024
Versace,Versace Pour Homme Signature by Versace 3.4 oz EDT Cologne for Men New Tester,Eau de Toilette,36.88,US $36.88/ea,0.0,"Limited quantity available / 19,899 sold",19899.0,"Hackensack, New Jersey, United States",Men,2024
Kenneth Cole,KENNETH COLE BLACK Cologne for Men 3.4 oz EDT Spray New in Box,Eau de Toilette,24.7,US $24.70/ea,0.0,"Limited quantity available / 12,865 sold",12865.0,"Dallas, Texas, United States",Men,2024
Tommy Hilfiger,TOMMY BOY EST 1985 by Tommy Hilfiger Cologne edt men 3.4 / 3.3 oz NEW in BOX,Eau de Toilette,26.11,US $26.11/ea,4.0,"4 available / 12,184 sold",12184.0,"Dallas, Texas, United States",Men,2024
Unbranded,SEALED NEW CUPID 2.0 HYPNOSIS MEN’S PHEROMONE COLOGNE 1.7 OZ MEET MORE HOT WOMEN,Perfume,14.99,US $14.99,10.0,More than 10 available / 172 sold,172.0,"Perth Amboy, New Jersey, United States",Men,2024
2nd To None,6 For $19.95 MEN(M) WOMEN(W) & UNISEX(U) Body Oil Fragrances 10 ml Roll On Pure,Concentrated Uncut Pure Body Oil,6.65,US $6.65,9.0,"9 available / 18,882 sold",18882.0,"LaGrange, Georgia, United States",Men,2024
Dior,Sauvage Dior Eau De Parfum MINATURE 10ml / 0.34 oz ...,Eau de Parfum,25.99,US $25.99/ea,6.0,"6 available / 1,332 sold",1332.0,"Cranston, Rhode Island, United States",Men,2024
Yves Saint Laurent,Y By Yves Saint Laurent LE PARFUM 3.3 Fl oz Spray Men's New & Sealed,LE PARFUM,60.99,US $60.99/ea,2.0,2 available / 35 sold,35.0,"Las Vegas, Nevada, United States",Men,2024
Yves Saint Laurent,Yves Saint Laurent Y Men's Eau De Parfum 3.4 oz/100 ml,Eau De Parfum,47.88,US $47.88/ea,10.0,More than 10 available / 25 sold,25.0,"Sacramento, California, United States",Men,2024
Calvin Klein,ETERNITY for Men by CALVIN KLEIN 3.3 / 3.4 oz EDT New In box,Eau de Toilette,31.08,US $31.08/ea,842.0,"842 available / 1,362 sold",1362.0,"Dallas, Texas, United States",Men,2024
Armaf,Armaf Men's Ventana Marine EDP Spray 3.4 oz Fragrances 6294015175417,Fragrances,24.43,US $24.43,0.0,Limited quantity available / 110 sold,110.0,"Brooklyn, New York, United States",Men,2024
Versace,Versace Eros by Gianni Versace 3.4 oz 100ml EDT Cologne for Men New In Box,Eau de Toilette,35.99,US $35.99/ea,5.0,5 available / 221 sold,221.0,"Dayton, New Jersey, Canada",Men,2024
Rasasi,RASASI DAREEJ 3.4 oz-100 ml Men EDP Spray New & Sealed New sale,Eau de Parfum,25.99,US $25.99,10.0,More than 10 available / 3 sold,3.0,"Windsor Mill, Maryland, United States",Men,2024
Ralph Lauren,POLO by Ralph Lauren 4.0 oz Cologne EDT Men GREEN New in Box,Eau de Toilette,38.57,US $38.57/ea,484.0,"484 available / 1,503 sold",1503.0,"Dallas, Texas, United States",Men,2024
Azzaro,CHROME LEGEND by Azzaro cologne for men EDT 4.2 oz New in Box,Eau de Toilette,24.45,US $24.45/ea,0.0,"Limited quantity available / 1,691 sold",1691.0,"Dallas, Texas, United States",Men,2024
Azzaro,CHROME LEGEND by Azzaro cologne for Men EDT 2.6 oz 2.5 New in Box,Eau de Toilette,16.26,US $16.26/ea,12.0,12 available / 644 sold,644.0,"Dallas, Texas, United States",Men,2024
Ralph Lauren,New & Sealed! Polo Black by Ralph Lauren 2.5 oz Cologne for Men 7D,Eau de Toilette,22.5,US $22.50,10.0,More than 10 available / 2 sold,2.0,"Mesa, Arizona, United States",Men,2024
Lattafa,Lattafa Men's Ramz Gold EDP Spray 3.38 oz Fragrances 6291106066715,Fragrances,15.03,US $15.03,3.0,3 available / 44 sold,44.0,"Brooklyn, New York, United States",Men,2024
Versace,Versace Man Eau Fraiche by Gianni Versace EDT 0.17oz New in Box,Eau de Toilette,8.32,US $8.32/ea,322.0,"1,322 available / 417 sold",417.0,"Dallas, Texas, United States",Men,2024
Giorgio Armani,Armani Code By Giorgio Armani EDT for Men 4.2 oz / 125 ml Brand New Sealed,Eau de Toilette,37.8,US $37.80/ea,8.0,8 available / 300 sold,300.0,"West Orange, New Jersey, United States",Men,2024
Calvin Klein,OBSESSION by Calvin Klein 4.0 oz 4 MEN edt Cologne New in Box,Eau de Toilette,23.56,US $23.56/ea,0.0,"Limited quantity available / 24,048 sold",24048.0,"Dallas, Texas, United States",Men,2024
Guy Laroche,DRAKKAR NOIR by Guy Laroche cologne for men EDT 6.7 / 6.8 oz New in Box,Eau de Toilette,27.59,US $27.59/ea,323.0,"1,323 available / 4,972 sold",4972.0,"Dallas, Texas, United States",Men,2024
Ralph Lauren,Ralph Lauren Polo Est. 67 Eau De Toilette .34 oz. Travel  Spray New!,Eau de Toilette,26.5,US $26.50,3.0,3 available / 3 sold,3.0,"Henrico, Virginia, United States",Men,2024
Dolce&Gabbana,Light Blue Eau Intense / Dolce & Gabbana EDP Spray 1.6 oz (50 ml) (m),Eau de Parfum,35.71,US $35.71,3.0,3 available / 36 sold,36.0,"Brooklyn, New York, United States",Men,2024
Unbranded,SEALED NEW CUPID HYPNOSIS MEN’S PHEROMONE COLOGNE 1.7 OZ | MEET MORE HOT WOMEN🔥,Perfume,15.99,US $15.99,10.0,More than 10 available / 594 sold,594.0,"Houston, Texas, United States",Men,2024
Cologne,Savage for Men- 3.4 Oz Men's Eau De Parfum. Men's Casual Cologne 100ml,Eau de Parfum,10.99,US $10.99/ea,10.0,More than 10 available / 179 sold,179.0,"Katy, Texas, United States",Men,2024
Giorgio Armani,Armani Code Profumo by Giorgio Armani 3.7 fl oz Parfum Spray Men's New & Sealed.,Eau de Parfum,70.99,US $70.99/ea,2.0,2 available / 52 sold,52.0,"Pfafftown, North Carolina, United States",Men,2024
Unbranded,1/2PCS 50ml Men's Pheromone-Cupid Infused Perfume- Hypnosis Cologne Fragrances,Perfume,16.99,US $16.99,10.0,More than 10 available / 404 sold,404.0,"CA, United States",Men,2024
MetaHerbal Labs,Arouse-Rx #1 Best Uncented Sex Pheromones For Men That Work 2 Attract Women,Unscented,39.95,US $39.95,10.0,More than 10 available / 353 sold,353.0,"Orange, Connecticut, United States",Men,2024
Mirage Brands,Azure Noir Intense Men's 3.4 Oz EDT Spray Long Lasting Perfume,Eau de Toilette,13.66,US $13.66,10.0,More than 10 available / 552 sold,552.0,"Hephzibah, Georgia, United States",Men,2024
Carolina Herrera,Bad Boy by Carolina Herrera 5.1 oz. Eau de Toilette Spray for Men. New. NO Box,Eau de Toilette,54.99,US $54.99/ea,10.0,10 available / 780 sold,780.0,"Katy, Texas, United States",Men,2024
Unbranded,SEALED NEW CUPID 2.0 HYPNOSIS MEN’S PHEROMONE COLOGNE 1.7 OZ MEET MORE HOT WOMEN,Perfume,14.99,US $14.99,10.0,More than 10 available / 358 sold,358.0,"Houston, Texas, United States",Men,2024
Abercrombie & Fitch,Abercrombie & Fitch Fierce 1.7 oz EAU DE COLOGNE MEN BRAND NEW SEALED IN BOX,Eau de Cologne,29.99,US $29.99/ea,9.0,9 available / 87 sold,87.0,"Phoenix, Arizona, United States",Men,2024
Valentino,Valentino Uomo Born In Roma Coral Fantasy 3.4fl.oz 100 ml EDT Cologne New In Box,Eau de Toilette,89.99,US $89.99,6.0,6 available / 23 sold,23.0,"El Cajon, California, Hong Kong",Men,2024
Yves Saint Laurent,Y by Yves Saint Laurent YSL 3.3 / 3.4 oz EDP Cologne for Men New In Box,Eau de Parfum,92.56,US $92.56/ea,0.0,"Limited quantity available / 2,293 sold",2293.0,"Hackensack, New Jersey, United States",Men,2024
Unbranded,Hawas for him Eau De Parfum By Rasasi 100ml 3.4 FL OZ NEW,/,15.89,US $15.89,6.0,6 available / 8 sold,8.0,"shanghai, China",Men,2024
Giorgio Armani,Giorgio Armani Acqua Di Gio 6.7oz / 200ml Men's Eau de Toilette Spray Brand New,Eau de Toilette,59.99,US $59.99,10.0,More than 10 available / 14 sold,14.0,"Hamtramck, Michigan, United States",Men,2024
Cologne,BLEU PARFUM de Blue for Men 3.4oz / 100ml EAU DE Cologne Spray IN BOX,Perfume,85.0,US $85.00,4.0,4 available / 42 sold,42.0,"Fresh Meadows, New York, United States",Men,2024
Unbranded,PERFUME Cologne for MEN Long Lasting Fragrance 100ML 3.4 Oz Gift Fast PARFUM,Eau de Toilette,13.86,US $13.86/ea,10.0,"More than 10 available / 1,146 sold",1146.0,"Cumming, Georgia, United States",Men,2024
Moschino,"MOSCHINO Toy Boy Eau De Parfum for Men, 3.4 US fl. oz. / 100 ml",Eau de Parfum,29.99,US $29.99,5.0,5 available / 17 sold,17.0,"Hamtramck, Michigan, United States",Men,2024
Nautica,Nautica Voyage Men's EDT 3.4 oz Cologne Spray New in Box,Eau de Toilette,17.99,US $17.99,3.0,3 available / 324 sold,324.0,"Detroit, Michigan, United States",Men,2024
Valentino,Valentino Uomo Born In Roma Coral Fantasy 3.4 oz EDT Cologne New In Box,Eau de Toilette,79.99,US $79.99/ea,10.0,More than 10 available / 316 sold,316.0,"Walnut, California, Hong Kong",Men,2024
AS SHOW,Sauvage Eau De Parfum  3.4 oz / 100 ml EDP Spray For Men New In Seald Box,Eau de Parfum,69.99,US $69.99,10.0,More than 10 available / 157 sold,157.0,"Dayton, New Jersey, Hong Kong",Men,2024
Dior,Dior Sauvage EDP Men's Fragrance 3.4 Oz New Sealed in Box,Eau de Parfum,84.99,US $84.99/ea,5.0,5 available / 73 sold,73.0,"Detroit, Michigan, United States",Men,2024
As Shown,YSL Yves Saint Laurent Y Eau de Perfume Spray Cologne For Men 3.3 oz 100ML,Eau de Parfum,49.99,US $49.99,5.0,5 available / 45 sold,45.0,"Ottawa,California, Canada",Men,2024
Abercrombie & Fitch,Abercrombie & Fitch Fierce 3.4 oz /100ml Eau De Cologne For Men Brand New Sealed,Eau de Cologne,33.95,US $33.95/ea,8.0,8 available / 464 sold,464.0,"Phoenix, Arizona, United States",Men,2024
Polo Ralph Lauren,Polo 67 Ralph Lauren Eau De Toilette .5 oz. New In Box!,Eau de Toilette,24.5,US $24.50,2.0,2 available / 4 sold,4.0,"Henrico, Virginia, United States",Men,2024
Paco Rabanne,1 Million Paco Rabanne Men 3.4 oz EDT Spray *FAST SHIPPING*,Eau de Toilette,49.96,US $49.96/ea,6.0,6 available / 19 sold,19.0,"Warren, Michigan, United States",Men,2024
Ralph Lauren,Polo Double Black 4.2 oz by Ralph Lauren Mens Eau De Toilette Spray New & Sealed,Eau de Toilette,34.99,US $34.99/ea,7.0,7 available / 225 sold,225.0,"Highland Park, Michigan, United States",Men,2024
Azzaro,CHROME by Loris Azzaro  3.3 / 3.4 oz EDT Cologne For Men New Spray tester,Eau de Toilette,26.97,US $26.97/ea,33.0,33 available / 424 sold,424.0,"Dallas, Texas, United States",Men,2024
~ DOLCE & GABBANA ~,DOLCE & GABBANA ~ THE ONE EAU DE PARFUM SPRAY For Men 3.3 OZ 100 Ml White Box,~ THE ONE EAU DE PARFUM SPRAY ~,54.99,US $54.99/ea,2.0,2 available / 22 sold,22.0,"Melissa, Texas, United States",Men,2024
Versace,Versace Man Fraiche EDT Spray 3.4 oz / 100 ml New In Box Free Shipping,Eau de Toilette,30.0,US $30.00/ea,2.0,2 available / 270 sold,270.0,"Carlsbad, California, United States",Men,2024
Ralph Lauren,Polo Red by Ralph Lauren EDT for Men 4.2 oz - 125 ml NEW IN BOX SEALED,Eau de Toilette,29.99,US $29.99/ea,8.0,8 available / 169 sold,169.0,"Laughlin, Nevada, United States",Men,2024
Paco Rabanne,XS by Paco Rabanne cologne for men EDT 3.3 / 3.4 oz New Tester,Eau de Toilette,28.91,US $28.91/ea,48.0,48 available / 849 sold,849.0,"Dallas, Texas, United States",Men,2024
Unbranded,SEALED NEW CUPID 2.0 HYPNOSIS MEN’S PHEROMONE COLOGNE 1.7 OZ MEET MORE HOT WOMEN,Perfume,15.99,US $15.99,10.0,More than 10 available / 14 sold,14.0,"Houston, Texas, United States",Men,2024
Gianni Versace,VERSACE L' HOMME edt 3.3 / 3.4 oz Cologne for Men New in Box,Eau de Toilette,25.43,US $25.43/ea,116.0,"116 available / 1,925 sold",1925.0,"Dallas, Texas, United States",Men,2024
Dolce & Gabbana,D&G DOLCE & GABBANA LIGHT BLUE EAU INTENSE MEN 1.5ml .05oz x 5 COLOGNE SAMPLES,Eau de Parfum,11.0,US $11.00,10.0,More than 10 available / 702 sold,702.0,"Albany, New York, United States",Men,2024
Dolce&Gabbana,Dolce & Gabbana 4.2oz Intenso EDP Sealed Men's Cologne,Eau de Parfum,40.99,US $40.99/ea,10.0,More than 10 available / 16 sold,16.0,"Detroit, Michigan, United States",Men,2024
HERMÈS,Terre D'Hermes by Hermes cologne for men EDT 3.3 / 3.4 oz New in Box,Eau de Toilette,58.99,US $58.99,0.0,Last One / 3 sold,3.0,"New York, New York, United States",Men,2024
AS SHOWN,Mans Sauvage Eau de Toilette 3.4 Oz 100ml Parfum Spray Brand New Sealed In box,Eau de Toilette,48.99,US $48.99,10.0,More than 10 available / 101 sold,101.0,"Hong Kong, Hong Kong",Men,2024
Diesel,DIESEL ONLY THE BRAVE STREET by DIESEL cologne EDT 2.5 oz New,Eau de Toilette,17.0,US $17.00/ea,6.0,6 available / 147 sold,147.0,"Dallas, Texas, United States",Men,2024
Dolce&Gabbana,Dolce & Gabbana Light Blue Eau Intense 6.7 oz. EDP Spray for Men. New in Box,Eau de Parfum,65.97,US $65.97/ea,10.0,10 available / 37 sold,37.0,"Katy, Texas, United States",Men,2024
Lacoste,Lacoste Eau De Toilette L.12.12 Blanc Cologne 3.3 oz/ 100ml for Men,Eau De Toilette,36.68,US $36.68/ea,10.0,More than 10 available / 9 sold,9.0,"Austin, Texas, United States",Men,2024
Paco Rabanne,Paco Rabanne 1 Million Men's Fragrance EDT Cologne 3.4 oz 100 ml New in Box,Eau de Toilette,49.99,US $49.99/ea,10.0,More than 10 available / 165 sold,165.0,"Flat Lick, Kentucky, United States",Men,2024
Dossier,Dossier Citrus Ginger Eau de Parfum. Size: 50ml / 1.7oz,Eau de Parfum,20.0,US $20.00/ea,8.0,8 available / 23 sold,23.0,"Los Angeles, California, United States",Men,2024
Burberry,Burberry Men's Hero EDP Spray 3.4 oz Fragrances 3614228838016,Fragrances,77.07,US $77.07,3.0,3 available / 55 sold,55.0,"Brooklyn, New York, United States",Men,2024
Giorgio Armani,Acqua Di Gio by Giorgio Armani EDT Men 6.7 oz / 200 ml *NEW IN SEALED BOX*,Eau de Toilette,64.99,US $64.99,10.0,More than 10 available / 235 sold,235.0,"Miami, Florida, United States",Men,2024
Yves Saint Laurent,Y By Yves Saint Laurent LE PARFUM Spray 3.3 oz / 100 ml New & Sealed.,PARFUM,59.99,US $59.99,3.0,3 available / 20 sold,20.0,"Lubbock, Texas, United States",Men,2024
Abercrombie & Fitch,Abercrombie & Fitch Fierce Cologne 6.7 oz for men New Sealed Ships Free,Eau de Cologne,39.99,US $39.99,3.0,3 available / 275 sold,275.0,"Carlsbad, California, United States",Men,2024
Dolce&Gabbana,USA K by Dolce & Gabbana cologne for men EDT 3.3 / 3.4 oz in Box New,Eau de Toilette,36.99,US $36.99/ea,2.0,2 available / 98 sold,98.0,"College Point, New York, United States",Men,2024
Michael Malul,Citizen Jack Absolute by Micheal Malul for Men 3.4 FL OZ. Eau De Parfum,Eau de Parfum,79.99,US $79.99,6.0,6 available / 18 sold,18.0,"Jonesboro, Georgia, United States",Men,2024
Zara,ZARA Sunrise On The Red Sand Dunes (Mylene Alran) 1.01oz (30ml) EDP Spray SEALED,Eau de Parfum,37.5,US $37.50,0.0,Last One / 30 sold,30.0,"Englewood, New Jersey, United States",Men,2024
Aramis,Aramis by Aramis EDT Cologne spray for Men 3.7 oz Brand New In Box,Eau de Toilette,21.01,US $21.01/ea,272.0,"272 available / 2,486 sold",2486.0,"Dallas, Texas, United States",Men,2024
