brand,title,type,price,priceWithCurrency,available,availableText,sold,itemLocation,gender,update_year
PRADA,Prada Candy Perfume 2.7oz EDP Sweetly Luxurious and New Enchanting,Eau de Parfum,35.99,US $35.99/ea,6.0,6 available / 13 sold,13.0,"Detroit, Michigan, United States",Women,2024
Jovan,JOVAN MUSK by COTY Perfume 3.25 oz New in Box,Eau de Cologne,11.94,US $11.94/ea,82.0,"82 available / 1,286 sold",1286.0,"Dallas, Texas, United States",Women,2024
Victoria's Secret,VICTORIA'S SECRET HEAVENLY PARFUM EAU DE PARFUM 3.4 fl. oz. /  100ml,Eau de Parfum,28.0,US $28.00,4.0,4 available / 5 sold,5.0,"Hamtramck, Michigan, United States",Women,2024
Jo Malone,Jo Malone Peony & Blush Suede Eau de Cologne 3.4Fl Oz / 100 ML Perfume,Perfume,49.99,US $49.99,9.0,9 available / 13 sold,13.0,"ShenZhen, China",Women,2024
Jo Malone,Jo Malone Dark Amber &Ginger Lily Cologne Intense Women's Eau de 3.4 fl oz/100ml,Eau de Cologne,79.99,US $79.99,6.0,6 available / 4 sold,4.0,"Las Vegas, Nevada, United States",Women,2024
Atlantic,Cry Baby Perfume 1ml ONLY,Perfume,55.0,US $55.00,6.0,6 available / 12 sold,12.0,"Round Rock, Texas, United States",Women,2024
Maison Alhambra,Glacier Bold EDP Perfume By Maison Alhambra Lattafa 100 ML🥇Hot New Release🥇,Eau de Parfum,39.99,US $39.99/ea,23.0,23 available / 48 sold,48.0,"North Brunswick, New Jersey, United States",Women,2024
Philosophy,Philosophy Amazing Grace Lavender Eau de Toilette EDT Spray 4oz 120ml NOT SEALED,Eau de Toilette,32.99,US $32.99,4.0,4 available / 9 sold,9.0,"Melrose Park, Illinois, United States",Women,2024
Ellis Brooklyn,NWB Ellis Brooklyn Biography Fragrance Discovery Set,Discovery Set,17.0,US $17.00,0.0,,0.0,"Edison, New Jersey, United States",Women,2024
Jo Malone,Jo Malone English Pear & Freesia 3.4oz Women's Eau de Cologne Spray,Eau de Cologne,66.95,US $66.95,10.0,More than 10 available / 6 sold,6.0,"Piscataway, New Jersey, United States",Women,2024
Carolina Herrera,Carolina Herrera Very Good Girl 2.7o 80 Ml Eau De Partum Brand New Sealed Box,Eau de Parfum,51.99,US $51.99/ea,8.0,8 available / 12 sold,12.0,"Warren, Michigan, United States",Women,2024
Narciso Rodriguez,Narciso Rodriguez For Her 3.3oz EDP Signature Women's Perfume Spray New,Eau de Parfum,34.99,US $34.99/ea,10.0,More than 10 available / 26 sold,26.0,"Detroit, Michigan, United States",Women,2024
L'Artisan,L'Artisan Parfumeur 'Mon Numero 10' Eau de Parfum 0.7oz/30ml New In Box,Eau De Parfum,48.93,US $48.93,10.0,More than 10 available / 37 sold,37.0,"Long Island City, New York, United States",Women,2024
CHANEL,new Chanel PARIS Gardenia 4ml .12 OZ BOXED Miniature EAU DE PARFUME EDP,Eau de Parfum,27.0,US $27.00,2.0,2 available / 8 sold,8.0,"Mountain Top, Pennsylvania, United States",Women,2024
Afnan,9 am Pour Femme by Afnan 3.4 oz EDP Perfume for Women New In Box,Eau de Parfum,29.95,US $29.95/ea,4.0,4 available / 40 sold,40.0,"Melissa, Texas, United States",Women,2024
Versace,Versace Bright Crystal Absolu by Versace 3.0 oz EDP Perfume for Women Tester,Eau de Parfum,45.98,US $45.98/ea,0.0,"Limited quantity available / 5,166 sold",5166.0,"Hackensack, New Jersey, United States",Women,2024
Juliette has a gun,Juliette Has a Gun Not a Perfume Womens EDP Travel Size 5.5 ML / 0.17 oz NWOB,Eau de Parfum,11.99,US $11.99/ea,10.0,More than 10 available / 19 sold,19.0,"Potomac, Maryland, United States",Women,2024
Juicy Couture,JUICY COUTURE SOLID PERFUME STICK for Women 0.17 oz Mini NEW Free Ship,SOLID PERFUME STICK,5.65,US $5.65/ea,6.0,6 available / 178 sold,178.0,"TX, United States",Women,2024
Dolce&Gabbana,Dolce & Gabbana Light Blue 6.7 fl oz Eau De Toilette Spray Women's New & Sealed,Eau de Toilette,53.99,US $53.99/ea,9.0,9 available / 3 sold,3.0,"Warren, Michigan, United States",Women,2024
Clubman Pinaud,Blue Waltz Perfume 0.63 fl oz,Perfume,8.34,US $8.34,10.0,More than 10 available / 409 sold,409.0,"Palm Desert, California, United States",Women,2024
Lomani,SPICE ADDICT PRIVATE COLLECTION BY LOMANI EDP  Spray 3.3 oz-100 ml NEW & SEALED.,Eau de Parfum,84.0,US $84.00,0.0,,0.0,"Hialeah, Florida, United States",Women,2024
